 ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756908,3.10501,0.4127332,,NONE
-1,6.520922,6.489843,4.611079,4.588922,15.98893,0.2757102,3.105009,0.430732,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757152,3.105009,0.4364069,,NONE
-1,6.520917,6.489851,4.611075,4.588926,15.98893,0.2757426,3.105009,0.509656,,NONE
-1,6.520911,6.489855,4.611072,4.58893,15.98894,0.2757456,3.10501,0.6027812,,NONE
-1,6.5209,6.489863,4.611066,4.588935,15.98894,0.2757443,3.10501,0.7001096,,NONE
-1,6.520895,6.48987,4.611061,4.58894,15.98895,0.2757434,3.10501,0.8033888,,NONE
-1,6.52089,6.489877,4.611056,4.588945,15.98895,0.2757436,3.105009,0.9012286,,NONE
-1,6.520884,6.489882,4.611053,4.588949,15.98896,0.275745,3.105009,1.000485,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757438,3.10501,1.104159,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757437,3.105012,1.200722,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105012,1.302242,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.275743,3.105012,1.400045,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105012,1.502793,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105012,1.600257,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105012,1.702209,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105012,1.80301,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105012,1.90357,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,2.004101,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.275744,3.105012,2.105091,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.203924,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.275744,3.105012,2.303805,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105012,2.404305,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,2.503817,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105012,2.602685,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105012,2.704385,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105012,2.802241,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,2.903571,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,3.004422,,NONE
-1,6.520905,6.489863,4.611048,4.588953,15.98896,0.2757257,3.145128,3.103051,,ACCELERATE
-1,6.520959,6.489805,4.61104,4.588961,15.98897,0.2757058,3.320534,3.200373,,ACCELERATE
-1,6.521032,6.489733,4.611033,4.588968,15.98898,0.2756982,3.648535,3.302567,,ACCELERATE
-1,6.521168,6.489598,4.611008,4.588994,15.98897,0.2863183,4.094504,3.401733,,ACCELERATE
-1,6.521417,6.48935,4.611077,4.588924,15.98893,0.2782566,4.67416,3.503456,,ACCELERATE
-1,6.521536,6.489233,4.611134,4.588868,15.98886,0.2799305,5.372334,3.604514,,ACCELERATE
-1,6.521691,6.489077,4.611205,4.588796,15.9888,0.278868,6.162625,3.703397,,ACCELERATE
-1,6.521903,6.488868,4.611276,4.588726,15.98872,0.2793551,7.057984,3.803257,,ACCELERATE
-1,6.522093,6.488677,4.611359,4.588643,15.98864,0.2790708,8.039246,3.902842,,ACCELERATE
-1,6.522343,6.48843,4.611456,4.588545,15.98854,0.2792103,9.111768,4.003603,,ACCELERATE
-1,6.522594,6.488175,4.611569,4.588432,15.98843,0.2791348,10.22884,4.102062,,ACCELERATE
-1,6.522913,6.487858,4.611713,4.588288,15.98828,0.2791733,11.45224,4.204264,,ACCELERATE
-1,6.523241,6.487531,4.611873,4.588129,15.98812,0.2791533,12.67395,4.301872,,ACCELERATE
-1,6.523609,6.487164,4.612057,4.587945,15.98794,0.279165,13.96949,4.401598,,ACCELERATE
-1,6.52401,6.486765,4.612264,4.587738,15.98773,0.2791574,15.30157,4.500943,,ACCELERATE
-1,6.524457,6.486322,4.612501,4.5875,15.98749,0.2791613,16.66815,4.600181,,ACCELERATE
-1,6.524935,6.485841,4.612764,4.587237,15.98723,0.2791584,18.08714,4.700907,,ACCELERATE
-1,6.525466,6.485312,4.61306,4.586942,15.98693,0.2791587,19.54109,4.802132,,ACCELERATE
-1,6.526021,6.484754,4.613375,4.586627,15.98661,0.2791578,20.98756,4.901212,,ACCELERATE
-1,6.526629,6.484149,4.613726,4.586276,15.98626,0.2791583,22.48232,5.002198,,ACCELERATE
-1,6.527275,6.483508,4.614101,4.5859,15.98589,0.2791594,23.99325,5.103644,,ACCELERATE
-1,6.527925,6.48286,4.614487,4.585515,15.9855,0.2791604,25.4507,5.201491,,ACCELERATE
-1,6.528624,6.482155,4.614908,4.585094,15.98508,0.2791596,26.94065,5.301518,,ACCELERATE
-1,6.52935,6.481428,4.615347,4.584655,15.98463,0.2791599,28.42145,5.400932,,ACCELERATE
-1,6.530139,6.480648,4.615826,4.584176,15.98416,0.2791596,29.92514,5.501883,,ACCELERATE
-1,6.530958,6.479829,4.616328,4.583674,15.98365,0.2791601,31.44756,5.604091,,ACCELERATE
19.2914,6.517402,6.492762,4.616851,4.583151,15.98313,0.2791601,32.92299,5.703143,,ACCELERATE
17.79168,6.437964,6.622211,4.617399,4.582603,15.98259,0.2791601,34.4208,5.803699,,ACCELERATE
16.75312,6.388129,6.758058,4.632524,4.569078,15.96494,0.2791593,35.90675,5.903486,,LEFT_ACCELERATE
16.47947,6.521038,6.629963,4.733558,4.47592,15.85822,0.2791633,37.37484,6.002376,,LEFT_ACCELERATE
15.19932,6.35161,7.102319,4.812262,4.386649,15.71329,0.2791616,38.86636,6.102987,,ACCELERATE
14.05717,6.135594,7.949065,4.818179,4.388506,15.56165,0.2791603,40.3475,6.202957,,LEFT_ACCELERATE
14.01187,6.171157,7.923924,4.81524,4.385262,15.30893,0.2791693,41.8124,6.302907,,LEFT_ACCELERATE
14.91853,6.511789,6.925524,4.917311,4.28933,14.86696,0.2791944,43.22867,6.402804,,LEFT_ACCELERATE
16.84139,7.27939,5.620948,5.200037,4.078443,14.18056,0.2792142,44.55085,6.503256,,LEFT_ACCELERATE
19.07804,8.360095,4.531876,5.689283,3.734628,13.26127,0.2792122,45.71149,6.603179,,LEFT_ACCELERATE
-1,9.356967,3.666224,6.291908,3.234027,12.16274,0.2791958,46.72399,6.703856,,LEFT_ACCELERATE
-1,9.914117,3.031757,6.816656,2.664762,11.0224,0.2791803,47.59724,6.800381,,LEFT_ACCELERATE
-1,9.913277,2.601426,7.212266,2.128209,9.781803,0.2791676,48.51484,6.904008,,ACCELERATE
18.88503,9.605933,2.460391,7.416842,1.811776,8.60307,0.2791633,49.42903,7.004174,,ACCELERATE
17.41452,9.189516,2.617509,7.498282,1.698481,7.462952,0.2791614,50.34468,7.102355,,RIGHT_ACCELERATE
15.50943,8.57062,3.396137,7.449096,1.808193,6.356802,0.2791632,51.29881,7.200457,,ACCELERATE
14.10647,7.992083,5.010931,7.278048,2.105392,5.243538,0.2791595,52.28006,7.300088,,LEFT_ACCELERATE
13.55208,7.544814,7.119638,6.975657,2.476433,4.070873,0.2791638,53.22387,7.401245,,LEFT_ACCELERATE
14.29422,7.314555,7.198872,6.642353,2.773942,2.783469,0.2791817,54.03432,7.503618,,LEFT_ACCELERATE
15.20661,7.095782,7.359665,6.4,3.008807,1.447856,0.2791775,54.67129,7.603117,,LEFT_ACCELERATE
14.73699,6.680755,8.518031,6.1726,3.332582,0.09673852,0.2791663,55.24735,7.701749,,ACCELERATE
13.34821,6.093421,10.3337,5.862727,3.845919,-1.280288,0.279164,55.8533,7.802761,,LEFT_ACCELERATE
13.00949,5.588535,10.94325,5.431203,4.362136,-2.617674,0.2791611,56.41882,7.900279,,LEFT_ACCELERATE
15.30201,5.305697,9.85115,4.922295,4.70322,-4.071575,0.2791768,56.88368,8.002956,,LEFT_ACCELERATE
-1,5.412413,8.390784,4.549732,4.812981,-5.548636,0.2791895,57.13305,8.10381,,LEFT_ACCELERATE
-1,5.650718,7.636207,4.410518,4.838988,-6.978991,0.2791792,57.21376,8.200131,,LEFT_ACCELERATE
-1,5.743889,7.431442,4.368381,4.857839,-8.497171,0.2791692,57.24554,8.302103,,ACCELERATE
-1,5.810505,7.296942,4.325723,4.887113,-9.995314,0.2791618,57.28033,8.402726,,LEFT_ACCELERATE
-1,5.921925,7.134936,4.323018,4.881805,-11.4526,0.2791608,57.27932,8.500572,,ACCELERATE
-1,5.905438,7.152703,4.311395,4.893458,-12.96054,0.2791608,57.29181,8.601815,,ACCELERATE
-1,5.869553,7.191393,4.286106,4.918813,-14.47354,0.279161,57.31736,8.703405,,LEFT_ACCELERATE
-1,6.026947,6.987623,4.27812,4.921954,-15.91886,0.2791594,57.32014,8.800466,,LEFT_ACCELERATE
-1,6.197267,6.806594,4.324305,4.876499,-17.42644,0.2791616,57.27411,8.901734,,ACCELERATE
-1,6.264671,6.74047,4.364187,4.836826,-18.8985,0.2791599,57.23468,9.0006,,LEFT_ACCELERATE
-1,6.646954,6.380538,4.450394,4.765497,-20.38006,0.2791619,57.1511,9.100286,,LEFT_ACCELERATE
-1,7.406057,5.707582,4.716224,4.579615,-21.89297,0.2791705,56.92006,9.203194,,LEFT_ACCELERATE
-1,7.750957,5.308854,5.049591,4.292013,-23.33926,0.2791654,56.61318,9.302478,,ACCELERATE
18.87309,7.715871,5.188922,5.313174,3.98123,-24.82622,0.2791618,56.30557,9.404426,,LEFT_ACCELERATE
18.16376,7.809771,5.023244,5.523796,3.741658,-26.25011,0.2791618,55.98855,9.502395,,LEFT_ACCELERATE
18.6168,8.294233,4.501166,5.825469,3.471982,-27.71293,0.2791759,55.5219,9.60568,,LEFT_ACCELERATE
19.2544,8.897048,3.898614,6.211288,3.135596,-29.02554,0.279178,54.91502,9.702965,,LEFT_ACCELERATE
18.75429,9.063709,3.539073,6.53346,2.760601,-30.31074,0.2791713,54.21733,9.801183,,LEFT_ACCELERATE
18.32079,9.171368,3.237505,6.80982,2.455841,-31.62004,0.2791665,53.44761,9.903214,,LEFT_ACCELERATE
18.23606,9.369921,2.891143,7.082594,2.163494,-32.85202,0.2791689,52.58055,10.00445,,LEFT_ACCELERATE
17.14982,9.134948,2.86106,7.249403,1.958427,-34.0207,0.2791636,51.71064,10.10227,,ACCELERATE
15.74153,8.702809,3.230008,7.284325,1.927485,-35.20063,0.2791623,50.85755,10.20003,,ACCELERATE
14.32255,8.179884,4.296183,7.199129,2.081465,-36.42885,0.2791609,49.98551,10.30116,,LEFT_ACCELERATE
13.60507,7.792388,5.761774,7.008329,2.338786,-37.64005,0.279163,49.04992,10.404,,LEFT_ACCELERATE
13.72559,7.624928,6.080254,6.801083,2.536948,-38.68565,0.2791848,48.03635,10.502,,LEFT_ACCELERATE
15.00199,7.747221,5.193122,6.631091,2.626906,-39.57993,0.279209,46.83472,10.60296,,LEFT_ACCELERATE
18.23812,8.142931,4.296163,6.631273,2.571969,-40.23265,0.2792113,45.48287,10.70422,,LEFT_ACCELERATE
-1,8.550596,3.750671,6.762223,2.435249,-40.66036,0.2791942,44.07635,10.80324,,LEFT_ACCELERATE
-1,8.744474,3.491448,6.916974,2.282083,-40.95749,0.2791795,42.65271,10.90098,,LEFT_ACCELERATE
-1,8.542743,3.666514,6.98491,2.227523,-41.24353,0.2791688,41.17012,11.00238,,ACCELERATE
-1,8.24289,4.145762,6.936425,2.32077,-41.55029,0.2791623,39.70678,11.10277,,LEFT_ACCELERATE
-1,8.270887,4.208258,6.829342,2.43713,-41.78939,0.2791623,38.25806,11.20142,,LEFT_ACCELERATE
-1,8.23223,4.330836,6.705837,2.59024,-41.96611,0.2791628,36.75272,11.30319,,ACCELERATE
-1,8.00268,4.644084,6.530956,2.777713,-42.15255,0.2791614,35.26401,11.40393,,ACCELERATE
-1,7.761864,4.972441,6.335816,2.973213,-42.34606,0.279162,33.83529,11.50073,,ACCELERATE
-1,7.498743,5.331617,6.121977,3.187309,-42.55789,0.2791604,32.3441,11.60185,,ACCELERATE
-1,7.231566,5.69654,5.904399,3.405039,-42.77287,0.2791613,30.87498,11.70153,,LEFT_ACCELERATE
-1,7.181615,5.750978,5.690504,3.576201,-42.95543,0.2791611,29.4192,11.80007,,LEFT_ACCELERATE
-1,7.220719,5.706997,5.557311,3.678612,-43.0677,0.2791623,27.90141,11.90227,,ACCELERATE
-1,7.080587,5.874318,5.448029,3.787652,-43.17699,0.279161,26.40577,12.00294,,ACCELERATE
-1,6.932218,6.051401,5.334404,3.901363,-43.2908,0.2791606,24.95112,12.1009,,ACCELERATE
-1,6.771626,6.24314,5.211228,4.024609,-43.41375,0.2791594,23.44549,12.20232,,ACCELERATE
-1,6.6863,6.335428,5.087846,4.138793,-43.52948,0.2791606,21.95045,12.303,,LEFT_ACCELERATE
-1,6.798991,6.197919,5.021223,4.187865,-43.58496,0.2791604,20.47907,12.40187,,ACCELERATE
-1,6.736393,6.266268,4.972503,4.236366,-43.63422,0.2791599,18.964,12.50364,,ACCELERATE
-1,6.664948,6.3443,4.920075,4.288819,-43.68679,0.2791622,17.51879,12.60073,,ACCELERATE
-1,6.585035,6.431585,4.861361,4.347558,-43.74559,0.2791602,16.00909,12.70216,,ACCELERATE
-1,6.503711,6.520423,4.801469,4.407463,-43.80543,0.2791602,14.53791,12.80101,,ACCELERATE
-1,6.428466,6.601308,4.738247,4.470016,-43.86784,0.2791601,13.01801,12.90314,,LEFT_ACCELERATE
-1,6.618394,6.391056,4.71442,4.485837,-43.88457,0.2791596,11.55637,13.00131,,LEFT_ACCELERATE
-1,6.685667,6.324822,4.731236,4.468769,-43.86817,0.2791602,10.03516,13.10344,,ACCELERATE
-1,6.700833,6.30962,4.742039,4.457965,-43.85771,0.2791605,8.547145,13.20334,,ACCELERATE
